# ZZ,NN,Existence
24,57,unbound
24,58,unbound
24,59,unbound
24,60,unbound
24,61,unbound
24,62,unbound
24,63,unbound
24,64,unbound
24,65,unbound
24,66,unbound
24,67,unbound
24,68,unbound
25,16,unbound
25,17,bound
25,18,bound
25,19,bound
25,20,bound
25,21,bound
25,22,bound
25,23,bound
25,24,bound
25,25,bound
25,26,bound
25,27,bound
25,28,bound
25,29,bound
25,30,bound
25,31,bound
25,32,bound
25,33,bound
25,34,bound
25,35,bound
25,36,bound
25,37,bound
25,38,bound
25,39,bound
25,40,bound
25,41,bound
25,42,bound
25,43,bound
25,44,bound
25,45,bound
25,46,bound
25,47,bound
25,48,bound
25,49,bound
25,50,bound
25,51,bound
25,52,bound
25,53,bound
25,54,bound
25,55,unbound
25,56,bound
25,57,unbound
25,58,unbound
25,59,unbound
25,60,unbound
25,61,unbound
25,62,unbound
25,63,unbound
25,64,unbound
25,65,unbound
25,66,unbound
25,67,unbound
25,68,unbound
25,69,unbound
25,70,unbound
25,71,unbound
26,18,unbound
26,19,bound
26,20,bound
26,21,bound
26,22,bound
26,23,bound
26,24,bound
26,25,bound
26,26,bound
26,27,bound
26,28,bound
26,29,bound
26,30,bound
26,31,bound
26,32,bound
26,33,bound
26,34,bound
26,35,bound
26,36,bound
26,37,bound
26,38,bound
26,39,bound
26,40,bound
26,41,bound
26,42,bound
26,43,bound
26,44,bound
26,45,bound
26,46,bound
26,47,bound
26,48,bound
26,49,bound
26,50,bound
26,51,bound
26,52,bound
26,53,bound
26,54,bound
26,55,unbound
26,56,bound
26,57,unbound
26,58,bound
26,59,unbound
26,60,unbound
26,61,unbound
26,62,unbound
26,63,unbound
26,64,unbound
26,65,unbound
26,66,unbound
26,67,unbound
26,68,unbound
26,69,unbound
26,70,unbound
26,71,unbound
26,72,unbound
26,73,unbound
27,18,unbound
27,19,bound
27,20,bound
27,21,bound
27,22,bound
27,23,bound
27,24,bound
27,25,bound
27,26,bound
27,27,bound
27,28,bound
27,29,bound
27,30,bound
27,31,bound
27,32,bound
27,33,bound
27,34,bound
27,35,bound
27,36,bound
27,37,bound
27,38,bound
27,39,bound
27,40,bound
27,41,bound
27,42,bound
27,43,bound
27,44,bound
27,45,bound
27,46,bound
27,47,bound
27,48,bound
27,49,bound
27,50,bound
27,51,bound
27,52,bound
27,53,bound
27,54,bound
27,55,bound
27,56,bound
27,57,bound
27,58,bound
27,59,unbound
27,60,unbound
27,61,unbound
27,62,unbound
27,63,unbound
27,64,unbound
27,65,unbound
27,66,unbound
27,67,unbound
27,68,unbound
27,69,unbound
27,70,unbound
27,71,unbound
27,72,unbound
27,73,unbound
27,74,unbound
27,75,unbound
27,76,unbound
28,19,unbound
28,20,bound
28,21,bound
28,22,bound
28,23,bound
28,24,bound
28,25,bound
28,26,bound
28,27,bound
28,28,bound
28,29,bound
28,30,bound
28,31,bound
28,32,bound
28,33,bound
28,34,bound
28,35,bound
28,36,bound
28,37,bound
28,38,bound
28,39,bound
28,40,bound
28,41,bound
28,42,bound
28,43,bound
28,44,bound
28,45,bound
28,46,bound
28,47,bound
28,48,bound
28,49,bound
28,50,bound
28,51,bound
28,52,bound
28,53,bound
28,54,bound
28,55,bound
28,56,bound
28,57,bound
28,58,bound
28,59,unbound
28,60,unbound
28,61,unbound
28,62,unbound
28,63,unbound
28,64,unbound
28,65,unbound
28,66,unbound
28,67,unbound
28,68,unbound
28,69,unbound
28,70,unbound
28,71,unbound
28,72,unbound
28,73,unbound
28,74,unbound
28,75,unbound
28,76,unbound
28,77,unbound
28,78,unbound
28,79,unbound
29,19,unbound
29,20,bound
29,21,bound
29,22,bound
29,23,bound
29,24,bound
29,25,bound
29,26,bound
29,27,bound
29,28,bound
29,29,bound
29,30,bound
29,31,bound
29,32,bound
29,33,bound
29,34,bound
29,35,bound
29,36,bound
29,37,bound
29,38,bound
29,39,bound
29,40,bound
29,41,bound
29,42,bound
29,43,bound
29,44,bound
29,45,bound
29,46,bound
29,47,bound
29,48,bound
29,49,bound
29,50,bound
29,51,bound
29,52,bound
29,53,bound
29,54,bound
29,55,bound
29,56,bound
29,57,bound
29,58,bound
29,59,unbound
29,60,bound
29,61,unbound
29,62,bound
29,63,unbound
29,64,bound
29,65,unbound
29,66,bound
29,67,unbound
29,68,bound
29,69,unbound
29,70,unbound
29,71,unbound
